Season,Round,RaceName,Driver,Team,LapNumber,Stint,Compound,PitDuration_s
2024,1,Bahrain Grand Prix,VER,Red Bull Racing,17.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,VER,Red Bull Racing,37.0,2.0,HARD,
2024,1,Bahrain Grand Prix,PER,Red Bull Racing,12.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,PER,Red Bull Racing,36.0,2.0,HARD,
2024,1,Bahrain Grand Prix,SAI,Ferrari,14.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,SAI,Ferrari,35.0,2.0,HARD,
2024,1,Bahrain Grand Prix,LEC,Ferrari,11.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,LEC,Ferrari,34.0,2.0,HARD,
2024,1,Bahrain Grand Prix,RUS,Mercedes,11.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,RUS,Mercedes,31.0,2.0,HARD,
2024,1,Bahrain Grand Prix,NOR,McLaren,13.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,NOR,McLaren,33.0,2.0,HARD,
2024,1,Bahrain Grand Prix,HAM,Mercedes,12.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,HAM,Mercedes,33.0,2.0,HARD,
2024,1,Bahrain Grand Prix,PIA,McLaren,12.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,PIA,McLaren,34.0,2.0,HARD,
2024,1,Bahrain Grand Prix,ALO,Aston Martin,15.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,ALO,Aston Martin,41.0,2.0,HARD,
2024,1,Bahrain Grand Prix,STR,Aston Martin,9.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,STR,Aston Martin,27.0,2.0,HARD,
2024,1,Bahrain Grand Prix,ZHO,Kick Sauber,9.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,ZHO,Kick Sauber,28.0,2.0,HARD,
2024,1,Bahrain Grand Prix,MAG,Haas F1 Team,11.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,MAG,Haas F1 Team,32.0,2.0,HARD,
2024,1,Bahrain Grand Prix,RIC,RB,13.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,RIC,RB,35.0,2.0,HARD,
2024,1,Bahrain Grand Prix,TSU,RB,14.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,TSU,RB,34.0,2.0,HARD,
2024,1,Bahrain Grand Prix,ALB,Williams,15.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,ALB,Williams,36.0,2.0,HARD,
2024,1,Bahrain Grand Prix,HUL,Haas F1 Team,1.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,HUL,Haas F1 Team,20.0,2.0,HARD,
2024,1,Bahrain Grand Prix,HUL,Haas F1 Team,41.0,3.0,HARD,
2024,1,Bahrain Grand Prix,OCO,Alpine,10.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,OCO,Alpine,30.0,2.0,HARD,
2024,1,Bahrain Grand Prix,GAS,Alpine,12.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,GAS,Alpine,31.0,2.0,HARD,
2024,1,Bahrain Grand Prix,GAS,Alpine,43.0,3.0,HARD,
2024,1,Bahrain Grand Prix,BOT,Kick Sauber,12.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,BOT,Kick Sauber,30.0,2.0,HARD,
2024,1,Bahrain Grand Prix,SAR,Williams,10.0,1.0,SOFT,
2024,1,Bahrain Grand Prix,SAR,Williams,28.0,2.0,HARD,
2024,1,Bahrain Grand Prix,SAR,Williams,40.0,3.0,HARD,
2024,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,GAS,Alpine,1.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,ALO,Aston Martin,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,LEC,Ferrari,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,SAR,Williams,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,TSU,RB,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,ALB,Williams,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,ZHO,Kick Sauber,41.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,HUL,Haas F1 Team,33.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,RIC,RB,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,OCO,Alpine,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,BEA,Ferrari,7.0,1.0,SOFT,
2024,2,Saudi Arabian Grand Prix,NOR,McLaren,37.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,HAM,Mercedes,36.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,RUS,Mercedes,7.0,1.0,MEDIUM,
2024,2,Saudi Arabian Grand Prix,BOT,Kick Sauber,7.0,1.0,SOFT,
2024,2,Saudi Arabian Grand Prix,BOT,Kick Sauber,35.0,2.0,HARD,
2024,2,Saudi Arabian Grand Prix,PIA,McLaren,7.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,VER,Red Bull Racing,4.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,GAS,Alpine,17.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,GAS,Alpine,41.0,2.0,HARD,
2024,3,Australian Grand Prix,PER,Red Bull Racing,14.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,PER,Red Bull Racing,35.0,2.0,HARD,
2024,3,Australian Grand Prix,ALO,Aston Martin,17.0,1.0,HARD,
2024,3,Australian Grand Prix,ALO,Aston Martin,41.0,2.0,MEDIUM,
2024,3,Australian Grand Prix,LEC,Ferrari,9.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,LEC,Ferrari,34.0,2.0,HARD,
2024,3,Australian Grand Prix,STR,Aston Martin,8.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,STR,Aston Martin,37.0,2.0,HARD,
2024,3,Australian Grand Prix,MAG,Haas F1 Team,7.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,MAG,Haas F1 Team,33.0,2.0,HARD,
2024,3,Australian Grand Prix,TSU,RB,9.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,TSU,RB,36.0,2.0,HARD,
2024,3,Australian Grand Prix,ALB,Williams,6.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,ALB,Williams,27.0,2.0,HARD,
2024,3,Australian Grand Prix,ZHO,Kick Sauber,6.0,1.0,SOFT,
2024,3,Australian Grand Prix,ZHO,Kick Sauber,35.0,2.0,HARD,
2024,3,Australian Grand Prix,HUL,Haas F1 Team,17.0,1.0,HARD,
2024,3,Australian Grand Prix,HUL,Haas F1 Team,35.0,2.0,MEDIUM,
2024,3,Australian Grand Prix,RIC,RB,5.0,1.0,SOFT,
2024,3,Australian Grand Prix,RIC,RB,29.0,2.0,HARD,
2024,3,Australian Grand Prix,OCO,Alpine,9.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,OCO,Alpine,16.0,2.0,HARD,
2024,3,Australian Grand Prix,OCO,Alpine,42.0,3.0,HARD,
2024,3,Australian Grand Prix,NOR,McLaren,14.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,NOR,McLaren,40.0,2.0,HARD,
2024,3,Australian Grand Prix,HAM,Mercedes,7.0,1.0,SOFT,
2024,3,Australian Grand Prix,SAI,Ferrari,16.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,SAI,Ferrari,41.0,2.0,HARD,
2024,3,Australian Grand Prix,RUS,Mercedes,8.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,RUS,Mercedes,45.0,2.0,HARD,
2024,3,Australian Grand Prix,BOT,Kick Sauber,8.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,BOT,Kick Sauber,36.0,2.0,HARD,
2024,3,Australian Grand Prix,PIA,McLaren,9.0,1.0,MEDIUM,
2024,3,Australian Grand Prix,PIA,McLaren,39.0,2.0,HARD,
2024,4,Japanese Grand Prix,VER,Red Bull Racing,1.0,1.0,MEDIUM,
2024,4,Japanese Grand Prix,VER,Red Bull Racing,16.0,2.0,MEDIUM,
2024,4,Japanese Grand Prix,VER,Red Bull Racing,34.0,3.0,MEDIUM,
2024,4,Japanese Grand Prix,PER,Red Bull Racing,1.0,1.0,MEDIUM,
