Season,Round,RaceName,Status,StatusName,Time
2024,1,Bahrain Grand Prix,1,AllClear,0 days 00:10:06.010000
2024,1,Bahrain Grand Prix,2,Yellow,0 days 01:00:16.400000
2024,1,Bahrain Grand Prix,1,AllClear,0 days 01:00:20.890000
2024,1,Bahrain Grand Prix,2,Yellow,0 days 01:00:46.461000
2024,1,Bahrain Grand Prix,1,AllClear,0 days 01:00:53.481000
2024,1,Bahrain Grand Prix,2,Yellow,0 days 01:15:24.819000
2024,1,Bahrain Grand Prix,1,AllClear,0 days 01:16:15.962000
2024,2,Saudi Arabian Grand Prix,2,Yellow,0 days 00:00:00
2024,2,Saudi Arabian Grand Prix,1,AllClear,0 days 00:08:45.692000
2024,2,Saudi Arabian Grand Prix,2,Yellow,0 days 01:09:15.917000
2024,2,Saudi Arabian Grand Prix,4,SafetyCar,0 days 01:09:49.924000
2024,2,Saudi Arabian Grand Prix,1,AllClear,0 days 01:16:35.527000
2024,3,Australian Grand Prix,1,AllClear,0 days 00:00:00
2024,3,Australian Grand Prix,2,Yellow,0 days 00:00:13.560000
2024,3,Australian Grand Prix,1,AllClear,0 days 00:05:52.010000
2024,3,Australian Grand Prix,2,Yellow,0 days 01:21:24.717000
2024,3,Australian Grand Prix,6,VSC_deployed,0 days 01:21:41.517000
2024,3,Australian Grand Prix,7,VSC_ending,0 days 01:22:45.787000
2024,3,Australian Grand Prix,1,AllClear,0 days 01:23:00.690000
2024,3,Australian Grand Prix,2,Yellow,0 days 02:17:08.699000
2024,3,Australian Grand Prix,6,VSC_deployed,0 days 02:17:19.578000
2024,4,Japanese Grand Prix,1,AllClear,0 days 00:02:10.211000
2024,4,Japanese Grand Prix,2,Yellow,0 days 01:03:04.009000
2024,4,Japanese Grand Prix,5,RedFlag,0 days 01:03:23.324000
2024,4,Japanese Grand Prix,1,AllClear,0 days 01:21:29.956000
2024,4,Japanese Grand Prix,2,Yellow,0 days 02:38:44.466000
2024,4,Japanese Grand Prix,1,AllClear,0 days 02:39:26.728000
2024,5,Chinese Grand Prix,2,Yellow,0 days 00:00:00
2024,5,Chinese Grand Prix,1,AllClear,0 days 00:03:43.861000
2024,5,Chinese Grand Prix,2,Yellow,0 days 01:29:21.060000
2024,5,Chinese Grand Prix,6,VSC_deployed,0 days 01:30:57.310000
2024,5,Chinese Grand Prix,4,SafetyCar,0 days 01:35:02.945000
2024,5,Chinese Grand Prix,1,AllClear,0 days 01:42:46.489000
2024,5,Chinese Grand Prix,2,Yellow,0 days 01:44:08.986000
2024,5,Chinese Grand Prix,4,SafetyCar,0 days 01:44:43.584000
2024,5,Chinese Grand Prix,1,AllClear,0 days 01:54:29.620000
2024,6,Miami Grand Prix,1,AllClear,0 days 00:00:00
2024,6,Miami Grand Prix,6,VSC_deployed,0 days 01:30:16.624000
2024,6,Miami Grand Prix,7,VSC_ending,0 days 01:30:57.133000
2024,6,Miami Grand Prix,1,AllClear,0 days 01:31:08.221000
2024,6,Miami Grand Prix,2,Yellow,0 days 01:38:59.677000
2024,6,Miami Grand Prix,4,SafetyCar,0 days 01:39:25.207000
2024,6,Miami Grand Prix,1,AllClear,0 days 01:48:20.615000
2024,7,Emilia Romagna Grand Prix,1,AllClear,0 days 00:14:54.798000
2024,7,Emilia Romagna Grand Prix,2,Yellow,0 days 00:25:18.219000
2024,7,Emilia Romagna Grand Prix,1,AllClear,0 days 00:25:20.767000
2024,7,Emilia Romagna Grand Prix,2,Yellow,0 days 00:25:24.863000
2024,7,Emilia Romagna Grand Prix,1,AllClear,0 days 00:25:28.047000
2024,7,Emilia Romagna Grand Prix,2,Yellow,0 days 00:26:02.940000
2024,7,Emilia Romagna Grand Prix,1,AllClear,0 days 00:26:05.527000
2024,8,Monaco Grand Prix,1,AllClear,0 days 00:00:48.957000
2024,8,Monaco Grand Prix,2,Yellow,0 days 00:23:00.042000
2024,8,Monaco Grand Prix,1,AllClear,0 days 00:23:28.942000
2024,8,Monaco Grand Prix,2,Yellow,0 days 00:34:01.046000
2024,8,Monaco Grand Prix,1,AllClear,0 days 00:34:55.313000
2024,8,Monaco Grand Prix,2,Yellow,0 days 00:55:30.229000
2024,8,Monaco Grand Prix,5,RedFlag,0 days 00:56:02.453000
2024,8,Monaco Grand Prix,1,AllClear,0 days 01:27:38.765000
2024,8,Monaco Grand Prix,2,Yellow,0 days 01:28:21.354000
2024,8,Monaco Grand Prix,1,AllClear,0 days 01:28:46.158000
2024,8,Monaco Grand Prix,2,Yellow,0 days 01:30:17.702000
2024,8,Monaco Grand Prix,1,AllClear,0 days 01:31:21.633000
2024,8,Monaco Grand Prix,4,SafetyCar,0 days 01:35:56.551000
2024,8,Monaco Grand Prix,1,AllClear,0 days 01:37:45.833000
2024,8,Monaco Grand Prix,2,Yellow,0 days 02:45:26.441000
2024,8,Monaco Grand Prix,1,AllClear,0 days 02:45:31.016000
2024,9,Canadian Grand Prix,1,AllClear,0 days 00:00:00
2024,9,Canadian Grand Prix,2,Yellow,0 days 00:04:30.268000
2024,9,Canadian Grand Prix,1,AllClear,0 days 00:04:32.269000
2024,9,Canadian Grand Prix,2,Yellow,0 days 00:13:19.675000
2024,9,Canadian Grand Prix,1,AllClear,0 days 00:13:40.888000
2024,9,Canadian Grand Prix,2,Yellow,0 days 00:40:35.477000
2024,9,Canadian Grand Prix,4,SafetyCar,0 days 00:41:20.356000
2024,9,Canadian Grand Prix,1,AllClear,0 days 00:49:59.274000
2024,9,Canadian Grand Prix,2,Yellow,0 days 00:50:05.548000
2024,9,Canadian Grand Prix,1,AllClear,0 days 00:50:14.904000
2024,9,Canadian Grand Prix,2,Yellow,0 days 01:07:31.649000
2024,9,Canadian Grand Prix,1,AllClear,0 days 01:07:35.151000
2024,9,Canadian Grand Prix,2,Yellow,0 days 01:18:38.469000
2024,9,Canadian Grand Prix,1,AllClear,0 days 01:18:41.982000
2024,9,Canadian Grand Prix,2,Yellow,0 days 01:23:05.534000
2024,9,Canadian Grand Prix,1,AllClear,0 days 01:23:12.173000
2024,9,Canadian Grand Prix,2,Yellow,0 days 01:24:23.842000
2024,9,Canadian Grand Prix,4,SafetyCar,0 days 01:24:53.375000
2024,9,Canadian Grand Prix,1,AllClear,0 days 01:34:00.072000
2024,9,Canadian Grand Prix,2,Yellow,0 days 01:44:40.368000
2024,9,Canadian Grand Prix,1,AllClear,0 days 01:45:04.574000
2024,10,Spanish Grand Prix,2,Yellow,0 days 00:00:00
2024,10,Spanish Grand Prix,1,AllClear,0 days 00:10:00.895000
2024,11,Austrian Grand Prix,1,AllClear,0 days 00:09:41.493000
2024,11,Austrian Grand Prix,2,Yellow,0 days 02:10:27.621000
2024,11,Austrian Grand Prix,1,AllClear,0 days 02:10:31.114000
2024,11,Austrian Grand Prix,6,VSC_deployed,0 days 02:12:52.483000
2024,11,Austrian Grand Prix,7,VSC_ending,0 days 02:13:38.250000
2024,11,Austrian Grand Prix,1,AllClear,0 days 02:13:50.429000
2024,12,British Grand Prix,1,AllClear,0 days 00:06:27.196000
2024,13,Hungarian Grand Prix,1,AllClear,0 days 00:06:31.179000
2024,13,Hungarian Grand Prix,2,Yellow,0 days 02:22:30.594000
2024,13,Hungarian Grand Prix,1,AllClear,0 days 02:22:34.774000
2024,14,Belgian Grand Prix,2,Yellow,0 days 00:00:00
2024,14,Belgian Grand Prix,1,AllClear,0 days 00:03:45.413000
2024,14,Belgian Grand Prix,2,Yellow,0 days 01:22:18.736000
2024,14,Belgian Grand Prix,1,AllClear,0 days 01:22:20.200000
2024,15,Dutch Grand Prix,1,AllClear,0 days 00:00:00
2024,15,Dutch Grand Prix,2,Yellow,0 days 00:14:41.553000
2024,15,Dutch Grand Prix,1,AllClear,0 days 00:24:08.672000
2024,16,Italian Grand Prix,1,AllClear,0 days 00:13:12.826000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 00:13:39.841000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 00:13:39.841000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 00:13:39.841000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 00:13:39.841000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 00:13:39.841000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 00:13:39.841000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 00:13:39.841000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 00:13:39.841000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 00:19:07.406000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 00:19:13.571000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 00:27:07.476000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 00:27:11.287000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 00:27:15.331000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 00:27:19.546000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 00:54:14.046000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 00:54:16.527000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 02:01:09.639000
2024,17,Azerbaijan Grand Prix,1,AllClear,0 days 02:01:14.191000
2024,17,Azerbaijan Grand Prix,2,Yellow,0 days 02:25:25.496000
2024,17,Azerbaijan Grand Prix,6,VSC_deployed,0 days 02:26:42.569000
2024,18,Singapore Grand Prix,2,Yellow,0 days 00:00:00
2024,18,Singapore Grand Prix,1,AllClear,0 days 00:00:03.251000
2024,18,Singapore Grand Prix,2,Yellow,0 days 00:00:09.253000
2024,18,Singapore Grand Prix,1,AllClear,0 days 00:00:25.453000
2024,19,United States Grand Prix,2,Yellow,0 days 00:00:00
2024,19,United States Grand Prix,1,AllClear,0 days 00:08:58.393000
2024,19,United States Grand Prix,2,Yellow,0 days 00:57:27.032000
2024,19,United States Grand Prix,1,AllClear,0 days 00:57:38.513000
2024,19,United States Grand Prix,2,Yellow,0 days 01:00:35.112000
2024,19,United States Grand Prix,4,SafetyCar,0 days 01:01:28.409000
2024,19,United States Grand Prix,1,AllClear,0 days 01:07:40.524000
2024,19,United States Grand Prix,2,Yellow,0 days 01:15:02.847000
2024,19,United States Grand Prix,1,AllClear,0 days 01:15:07.470000
2024,19,United States Grand Prix,2,Yellow,0 days 02:07:29.886000
2024,19,United States Grand Prix,1,AllClear,0 days 02:07:38.510000
2024,20,Mexico City Grand Prix,2,Yellow,0 days 00:00:00
2024,20,Mexico City Grand Prix,1,AllClear,0 days 00:00:22.917000
2024,20,Mexico City Grand Prix,2,Yellow,0 days 00:23:31.553000
2024,20,Mexico City Grand Prix,1,AllClear,0 days 00:39:27.571000
2024,20,Mexico City Grand Prix,2,Yellow,0 days 00:56:20.860000
2024,20,Mexico City Grand Prix,4,SafetyCar,0 days 00:56:58.362000
2024,20,Mexico City Grand Prix,1,AllClear,0 days 01:08:29.689000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 00:00:00
2024,21,São Paulo Grand Prix,2,Yellow,0 days 00:52:58.758000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 00:58:32.359000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 01:13:10.258000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 01:13:19.484000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 01:17:25.352000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 01:17:28.803000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 01:27:37.971000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 01:27:48.625000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 01:47:45.888000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 01:47:49.810000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 01:49:38.987000
2024,21,São Paulo Grand Prix,6,VSC_deployed,0 days 01:50:18.848000
2024,21,São Paulo Grand Prix,7,VSC_ending,0 days 01:51:47.994000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 01:52:01.710000
2024,21,São Paulo Grand Prix,4,SafetyCar,0 days 01:54:50.200000
2024,21,São Paulo Grand Prix,5,RedFlag,0 days 01:59:19.333000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 02:23:12.325000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 02:26:20.605000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 02:26:38.296000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 02:30:40.572000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 02:30:58.358000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 02:32:55.981000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 02:33:04.122000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 02:35:08.379000
2024,21,São Paulo Grand Prix,4,SafetyCar,0 days 02:35:12.045000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 02:41:26.301000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 02:43:14.900000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 02:43:36.771000
2024,21,São Paulo Grand Prix,2,Yellow,0 days 02:54:27.095000
2024,21,São Paulo Grand Prix,1,AllClear,0 days 02:54:32.696000
2024,22,Las Vegas Grand Prix,2,Yellow,0 days 00:00:00
2024,22,Las Vegas Grand Prix,1,AllClear,0 days 00:04:43.802000
2024,22,Las Vegas Grand Prix,2,Yellow,0 days 02:22:12.269000
2024,23,Qatar Grand Prix,1,AllClear,0 days 00:05:37.763000
2024,23,Qatar Grand Prix,2,Yellow,0 days 00:55:07.112000
2024,23,Qatar Grand Prix,4,SafetyCar,0 days 00:55:49.928000
2024,23,Qatar Grand Prix,1,AllClear,0 days 01:03:27.530000
2024,23,Qatar Grand Prix,2,Yellow,0 days 01:04:12.481000
2024,23,Qatar Grand Prix,1,AllClear,0 days 01:04:19.563000
2024,23,Qatar Grand Prix,2,Yellow,0 days 01:39:34.892000
2024,23,Qatar Grand Prix,1,AllClear,0 days 01:39:41.487000
2024,23,Qatar Grand Prix,2,Yellow,0 days 01:39:42.909000
