Team,AvgLapTime_s,PerfRank,GapToFirst_s,Gap
McLaren,88.25554630762954,1,0.0,REF
Mercedes,88.33472105937634,2,0.07917475174679112,+0.079s
Red Bull Racing,88.33940135478409,3,0.08385504715454317,+0.084s
Ferrari,88.38237690094533,4,0.1268305933157876,+0.127s
RB,89.10056472196901,5,0.8450184143394637,+0.845s
Kick Sauber,89.31900132042254,6,1.0634550127929998,+1.063s
Aston Martin,89.54490238416554,7,1.289356076535995,+1.289s
Alpine,89.61860133524081,8,1.3630550276112672,+1.363s
Williams,89.78589229994967,9,1.5303459923201217,+1.530s
Haas F1 Team,90.13156982990152,10,1.8760235222719785,+1.876s
