Round,GP,Driver,Team,LapNumber,Stint,Compound,TyreLife,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,IsPitStop
1,Australian Grand Prix,VER,Red Bull Racing,1.0,1.0,INTERMEDIATE,1.0,False,119.392,,20.705,55.25,False
1,Australian Grand Prix,VER,Red Bull Racing,2.0,1.0,INTERMEDIATE,2.0,False,,58.141,37.976,73.205,True
1,Australian Grand Prix,VER,Red Bull Racing,3.0,2.0,INTERMEDIATE,3.0,False,,56.23,33.683,72.232,True
1,Australian Grand Prix,VER,Red Bull Racing,4.0,3.0,INTERMEDIATE,4.0,False,,54.351,32.712,68.712,True
1,Australian Grand Prix,VER,Red Bull Racing,5.0,4.0,INTERMEDIATE,5.0,False,143.609,53.513,32.627,57.469,True
1,Australian Grand Prix,VER,Red Bull Racing,6.0,4.0,INTERMEDIATE,6.0,False,139.654,47.887,33.228,58.539,False
1,Australian Grand Prix,VER,Red Bull Racing,7.0,4.0,INTERMEDIATE,7.0,False,136.447,45.898,29.735,60.814,False
1,Australian Grand Prix,VER,Red Bull Racing,8.0,4.0,INTERMEDIATE,8.0,True,96.83,35.249,20.145,41.436,False
1,Australian Grand Prix,VER,Red Bull Racing,9.0,4.0,INTERMEDIATE,9.0,True,94.315,33.85,19.608,40.857,False
1,Australian Grand Prix,VER,Red Bull Racing,10.0,4.0,INTERMEDIATE,10.0,True,92.65,33.117,19.414,40.119,False
1,Australian Grand Prix,VER,Red Bull Racing,11.0,4.0,INTERMEDIATE,11.0,True,92.453,33.017,19.392,40.044,False
1,Australian Grand Prix,VER,Red Bull Racing,12.0,4.0,INTERMEDIATE,12.0,True,91.591,32.767,19.302,39.522,False
1,Australian Grand Prix,VER,Red Bull Racing,13.0,4.0,INTERMEDIATE,13.0,True,91.271,32.572,19.292,39.407,False
1,Australian Grand Prix,VER,Red Bull Racing,14.0,4.0,INTERMEDIATE,14.0,True,90.639,32.137,19.124,39.378,False
1,Australian Grand Prix,VER,Red Bull Racing,15.0,4.0,INTERMEDIATE,15.0,True,90.328,31.945,18.879,39.504,False
1,Australian Grand Prix,VER,Red Bull Racing,16.0,4.0,INTERMEDIATE,16.0,True,90.592,31.921,19.071,39.6,False
1,Australian Grand Prix,VER,Red Bull Racing,17.0,4.0,INTERMEDIATE,17.0,True,93.392,32.432,19.003,41.957,False
1,Australian Grand Prix,VER,Red Bull Racing,18.0,4.0,INTERMEDIATE,18.0,True,92.169,32.55,18.956,40.663,False
1,Australian Grand Prix,VER,Red Bull Racing,19.0,4.0,INTERMEDIATE,19.0,True,91.939,32.547,19.002,40.39,False
1,Australian Grand Prix,VER,Red Bull Racing,20.0,4.0,INTERMEDIATE,20.0,True,91.598,32.354,19.009,40.235,False
1,Australian Grand Prix,VER,Red Bull Racing,21.0,4.0,INTERMEDIATE,21.0,True,91.177,32.272,18.898,40.007,False
1,Australian Grand Prix,VER,Red Bull Racing,22.0,4.0,INTERMEDIATE,22.0,True,91.04,32.48,18.943,39.617,False
1,Australian Grand Prix,VER,Red Bull Racing,23.0,4.0,INTERMEDIATE,23.0,True,90.686,32.099,18.912,39.675,False
1,Australian Grand Prix,VER,Red Bull Racing,24.0,4.0,INTERMEDIATE,24.0,True,90.978,32.243,18.994,39.741,False
1,Australian Grand Prix,VER,Red Bull Racing,25.0,4.0,INTERMEDIATE,25.0,True,90.845,32.279,18.911,39.655,False
1,Australian Grand Prix,VER,Red Bull Racing,26.0,4.0,INTERMEDIATE,26.0,True,90.293,32.159,18.938,39.196,False
1,Australian Grand Prix,VER,Red Bull Racing,27.0,4.0,INTERMEDIATE,27.0,True,89.731,31.904,18.868,38.959,False
1,Australian Grand Prix,VER,Red Bull Racing,28.0,4.0,INTERMEDIATE,28.0,True,89.411,31.769,18.848,38.794,False
1,Australian Grand Prix,VER,Red Bull Racing,29.0,4.0,INTERMEDIATE,29.0,True,89.043,31.543,18.815,38.685,False
1,Australian Grand Prix,VER,Red Bull Racing,30.0,4.0,INTERMEDIATE,30.0,True,88.237,31.103,18.635,38.499,False
1,Australian Grand Prix,VER,Red Bull Racing,31.0,4.0,INTERMEDIATE,31.0,True,88.127,31.123,18.741,38.263,False
1,Australian Grand Prix,VER,Red Bull Racing,32.0,4.0,INTERMEDIATE,32.0,True,88.208,30.905,18.89,38.413,False
1,Australian Grand Prix,VER,Red Bull Racing,33.0,4.0,INTERMEDIATE,33.0,True,88.046,30.905,18.81,38.331,False
